Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Hora,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ganancia de altura,Altura perdida,Longitud media de zancada
trail_running,2018-05-19 18:44:32,false,Jata,17.06,1095,01:53:30,142,171,162,190,6:39,3:14,725,731,0.93
trail_running,2018-05-17 17:22:00,false,Jata,23.06,1597,02:42:36,155,--,--,--,7:03,--,839,839,0
trail_running,2018-05-14 19:33:30,false,Jata,12.55,988,01:21:27,157,197,158,200,6:29,3:55,587,585,0.98
trail_running,2018-05-10 19:46:48,false,Mungia Carrera,10.33,665,01:01:11,142,175,166,182,5:55,3:16,322,318,1.02
trail_running,2018-05-08 20:43:04,false,Zumetxagas,10.52,543,01:05:01,131,162,164,182,6:11,1:49,314,312,0.99
trail_running,2018-05-07 08:04:06,false,Gernika St James way,30.41,1674,03:20:17,146,179,160,192,6:35,3:47,885,1077,0.95
trail_running,2018-05-04 16:26:23,false,Bakio & sollube,33.01,1846,03:20:03,148,174,164,202,6:04,4:07,1180,1183,1.01
trail_running,2018-05-03 07:52:06,false,Zumetxagas,10.15,785,01:02:12,159,181,164,182,6:08,1:59,304,310,1
trail_running,2018-05-02 20:10:38,false,Zumetxagas,10.28,727,00:58:19,158,178,166,186,5:40,2:59,315,317,1.06
trail_running,2018-04-27 07:02:09,false,Mungia Carrera,33.23,2683,04:01:22,157,179,156,242,7:16,4:17,1470,1467,0.88
trail_running,2018-04-25 19:58:08,false,Mungia Carrera,10.49,787,01:04:21,153,169,164,190,6:08,3:56,316,316,0.99
trail_running,2018-04-19 20:06:09,false,8k zumetxagas,8.14,521,00:48:02,140,161,166,178,5:54,3:45,250,249,1.02
trail_running,2018-04-18 20:20:28,false,Zumetxagas+,8.1,503,00:47:27,139,161,166,176,5:52,3:56,248,245,1.03
trail_running,2018-04-17 06:47:33,true,Lekeitio,57.39,3948,07:34:26,148,188,152,246,7:55,4:22,2547,2617,0.83
trail_running,2018-04-12 13:03:07,false,Mungia Carrera,28.15,1805,03:17:11,147,167,160,184,7:00,3:34,1117,1113,0.89
trail_running,2018-04-10 19:14:55,false,Zumetxagas,10.51,617,01:04:01,148,178,164,182,6:05,3:29,324,323,1
street_running,2018-04-08 07:28:15,false,A casa desde Urgoiti,16.38,1226,01:35:46,160,179,166,182,5:51,3:04,346,431,1.03
trail_running,2018-04-05 09:24:31,false,Sollube y jata,39.01,2109,04:11:17,143,187,164,204,6:26,3:57,1564,1556,0.95
trail_running,2018-04-03 07:59:45,false,Zumetxagas 10k,10.42,684,01:04:34,139,161,166,192,6:12,4:05,318,315,0.97
trail_running,2018-03-31 12:52:41,false,Jata,15.53,1194,01:43:34,155,175,162,242,6:40,0:43,714,710,0.93
trail_running,2018-03-29 14:47:40,false,Jata,15.46,1159,01:40:40,154,178,164,228,6:31,4:01,688,703,0.94
trail_running,2018-03-26 20:14:44,false,10k zumetxagas,10.41,680,01:02:11,141,171,166,188,5:58,3:40,323,321,1.01
trail_running,2018-03-24 18:15:51,false,10k zumetxagas,10.41,815,01:01:49,160,178,168,184,5:56,2:50,327,323,1
trail_running,2018-03-23 15:04:56,false,Zumetxagas 10k,10.51,724,01:01:34,149,171,166,184,5:51,3:23,328,326,1.03
